title,year,film_url,directors
A Star Is Born,2018,https://boxd.it/b9g48f,(Unknown)
A Walk to Remember,2002,https://boxd.it/aGLnAj,(Unknown)
Almost Famous,2000,https://boxd.it/b3kImZ,(Unknown)
Anyone But You,2023,https://boxd.it/6BliV3,(Unknown)
Anything Else,2003,https://boxd.it/aIdf0x,(Unknown)
Babes,2024,https://boxd.it/8Tv85T,(Unknown)
Bedazzled,2000,https://boxd.it/bChKNR,(Unknown)
Bride Wars,2009,https://boxd.it/bF5PbV,(Unknown)
Bridget Jones: Mad About the Boy,2025,https://boxd.it/aXxy9t,(Unknown)
Brittany Runs a Marathon,2019,https://boxd.it/8YL0q7,(Unknown)
Christmas in Notting Hill,2023,https://boxd.it/7Vm3Z5,(Unknown)
Dakota Skye,2008,https://boxd.it/bFd81p,(Unknown)
Dazed and Confused,1993,https://boxd.it/b0iTHN,(Unknown)
Drive Me Crazy,1999,https://boxd.it/aFTc5L,(Unknown)
Drive Me Crazy,1999,https://boxd.it/aIXRmj,(Unknown)
Drive Me Crazy,1999,https://boxd.it/bkuVbD,(Unknown)
Dumb Money,2023,https://boxd.it/6OwhTz,(Unknown)
Empire Records,1995,https://boxd.it/aHvUtR,(Unknown)
Footnotes,2023,https://boxd.it/6NIX0h,(Unknown)
Freakier Friday,2025,https://boxd.it/aSikFl,(Unknown)
Girl,1998,https://boxd.it/aYiL8n,(Unknown)
Go,1999,https://boxd.it/bjSiHz,(Unknown)
Good Posture,2019,https://boxd.it/6Irog1,(Unknown)
Good on Paper,2021,https://boxd.it/8YKNn5,(Unknown)
Happiness for Beginners,2023,https://boxd.it/9SwxMT,(Unknown)
He's Just Not That Into You,2009,https://boxd.it/9J7mFL,(Unknown)
Holidate,2020,https://boxd.it/8YKOfL,(Unknown)
I Love You Forever,2024,https://boxd.it/bAwRgn,(Unknown)
I Used to Be Funny,2023,https://boxd.it/6M6uyf,(Unknown)
I Want You Back,2022,https://boxd.it/8BAlmV,(Unknown)
It's a Boy Girl Thing,2006,https://boxd.it/bwLN8N,(Unknown)
Keith,2008,https://boxd.it/9AujBh,(Unknown)
Landline,2017,https://boxd.it/8YKRld,(Unknown)
Life As We Know It,2010,https://boxd.it/bklM6L,(Unknown)
Long Shot,2019,https://boxd.it/8YKLWx,(Unknown)
Lost in Translation,2003,https://boxd.it/9Dt0TL,(Unknown)
Materialists,2025,https://boxd.it/aKdyMN,(Unknown)
Meet Me in the Bathroom,2022,https://boxd.it/7Cb4g3,(Unknown)
My Blind Brother,2016,https://boxd.it/8PVgOt,(Unknown)
My Fault: London,2025,https://boxd.it/9nPW3N,(Unknown)
"New York, I Love You",2008,https://boxd.it/8YL2ab,(Unknown)
Obvious Child,2014,https://boxd.it/6BldvJ,(Unknown)
One Small Hitch,2013,https://boxd.it/b5Y6Wj,(Unknown)
Our Little Secret,2024,https://boxd.it/8ooUHX,(Unknown)
Parachute,2023,https://boxd.it/8XVoSl,(Unknown)
Party Girl,1995,https://boxd.it/bqybBx,(Unknown)
Past Lives,2023,https://boxd.it/5rilkZ,(Unknown)
Picture This,2025,https://boxd.it/96eZDH,(Unknown)
Players,2024,https://boxd.it/8YKMEf,(Unknown)
Prozac Nation,2001,https://boxd.it/bop6mr,(Unknown)
Puppy Love,2023,https://boxd.it/8YL3nP,(Unknown)
Reality Bites,1994,https://boxd.it/8VmKr9,(Unknown)
Return of the Jedi,1983,https://boxd.it/70IfBl,(Unknown)
SLC Punk,1998,https://boxd.it/bl4P65,(Unknown)
She's All That,1999,https://boxd.it/aF46kX,(Unknown)
Shithouse,2020,https://boxd.it/5H5tYB,(Unknown)
Silver Linings Playbook,2012,https://boxd.it/8e6S8Z,(Unknown)
Sitting in Bars with Cake,2023,https://boxd.it/8YL2Dx,(Unknown)
Sleeping with Other People,2015,https://boxd.it/6Blry3,(Unknown)
Some Girl(s),2013,https://boxd.it/8e9WMl,(Unknown)
Something from Tiffany's,2022,https://boxd.it/8YKYBn,(Unknown)
Star Wars,1977,https://boxd.it/6Vf06z,(Unknown)
Stay the Night,2022,https://boxd.it/7Isevl,(Unknown)
Stay the Night,2022,https://boxd.it/9lTuO7,(Unknown)
Stuck in Love,2012,https://boxd.it/8YL1wZ,(Unknown)
Sweethearts,2024,https://boxd.it/8YKGuj,(Unknown)
That Awkward Moment,2014,https://boxd.it/8YL0Zh,(Unknown)
The Broken Hearts Gallery,2020,https://boxd.it/9BWXrr,(Unknown)
The Devil Wears Prada,2006,https://boxd.it/bzEral,(Unknown)
The Empire Strikes Back,1980,https://boxd.it/6WiRSB,(Unknown)
The Idea of You,2024,https://boxd.it/8YKVFV,(Unknown)
The Idea of You,2024,https://boxd.it/6BlkzX,(Unknown)
The Life List,2025,https://boxd.it/9ir6pT,(Unknown)
The Other Zoey,2023,https://boxd.it/83tH7N,(Unknown)
The Perfect Find,2023,https://boxd.it/9Oao07,(Unknown)
The Prince & Me,2004,https://boxd.it/8YKKzd,(Unknown)
The Reality of Love,2004,https://boxd.it/byPEMb,(Unknown)
The Rebound,2009,https://boxd.it/8YKSip,(Unknown)
The Wrong Paris,2025,https://boxd.it/biJmJn,(Unknown)
Tyler Perry's Finding Joy,2025,https://boxd.it/bEocrp,(Unknown)
Upgraded,2024,https://boxd.it/8YKX2h,(Unknown)
Uptown Girls,2003,https://boxd.it/9EsDTH,(Unknown)
Vamps,2012,https://boxd.it/bzvPuV,(Unknown)
Would It Kill You to Laugh? Starring Kate Berlant + John Early,2022,https://boxd.it/8887ln,(Unknown)
